Season,League,Rk,Squad,MP,W,D,L,GF,GA,GDiff,Pts,Attendance,Top Team Scorer,Goalkeeper
2019-2020,Bundesliga,14,KÃ¶ln,34,10,6,18,51,69,-18,36,"35,094",Jhon CÃ³rdoba - 13,Timo Horn
2019-2020,Bundesliga,15,Augsburg,34,9,9,16,45,63,-18,36,"20,265",Florian Niederlechner - 13,TomÃ¡Å¡ Koubek
2019-2020,Bundesliga,16,Werder Bremen,34,8,7,19,42,69,-27,31,"26,413","Yuya Osako, Milot Rashica - 8",JiÅ™Ã­ Pavlenka
2019-2020,Bundesliga,17,DÃ¼sseldorf,34,6,12,16,36,67,-31,30,"30,581",Rouwen Hennings - 15,"Zack Steffen, Florian Kastenmeier"
2019-2020,Bundesliga,18,Paderborn 07,34,4,8,22,37,74,-37,20,"11,038","Streli Mamba, Sven Michel... - 5",Leopold Zingerle
2019-2020,La Liga,1,Real Madrid,38,26,9,3,70,25,45,87,"45,833",Karim Benzema - 21,Thibaut Courtois
2019-2020,La Liga,2,Barcelona,38,25,7,6,86,38,48,82,"54,223",Lionel Messi - 25,Marc-AndrÃ© ter Stegen
2019-2020,La Liga,3,AtlÃ©tico Madrid,38,18,16,4,51,27,24,70,"42,236",Ãlvaro Morata - 12,Jan Oblak
2019-2020,La Liga,4,Sevilla,38,19,13,6,54,34,20,70,"25,016",Lucas Ocampos - 14,TomÃ¡Å¡ VaclÃ­k
2019-2020,La Liga,5,Villarreal,38,18,6,14,63,49,14,60,"11,321",Gerard Moreno - 18,Sergio Asenjo
2019-2020,La Liga,6,Real Sociedad,38,16,8,14,56,48,8,56,"21,204",Willian JosÃ© - 11,Ãlex Remiro
2019-2020,La Liga,7,Granada,38,16,8,14,52,45,7,56,"11,174",Carlos FernÃ¡ndez - 10,Rui Silva
2019-2020,La Liga,8,Getafe,38,14,12,12,43,37,6,54,"8,000",Jaime Mata - 11,David Soria
2019-2020,La Liga,9,Valencia,38,14,11,13,46,53,-7,53,"29,658",Maxi GÃ³mez - 9,Jasper Cillessen
2019-2020,La Liga,10,Osasuna,38,13,13,12,46,54,-8,52,"11,453",Ezequiel Ãvila - 9,Sergio Herrera
2019-2020,La Liga,11,Athletic Club,38,13,12,13,41,38,3,51,"28,039",RaÃºl GarcÃ­a - 15,Unai SimÃ³n
2019-2020,La Liga,12,Levante,38,14,7,17,47,53,-6,49,"13,196",Roger MartÃ­ - 11,Aitor FernÃ¡ndez
2019-2020,La Liga,13,Valladolid,38,9,15,14,32,43,-11,42,"13,580",Sergi Guardiola - 8,Jordi Masip
2019-2020,La Liga,14,Eibar,38,11,9,18,39,56,-17,42,"4,151",FabiÃ¡n Orellana - 8,Marko DmitroviÄ‡
2019-2020,La Liga,15,Betis,38,10,11,17,48,60,-12,41,"35,969",Loren MorÃ³n - 10,Joel Robles
2019-2020,La Liga,16,AlavÃ©s,38,10,9,19,34,59,-25,39,"12,177","Lucas PÃ©rez, Joselu - 11",Fernando Pacheco
2019-2020,La Liga,17,Celta Vigo,38,7,16,15,37,49,-12,37,"11,995",Iago Aspas - 14,RubÃ©n Blanco
2019-2020,La Liga,18,LeganÃ©s,38,8,12,18,30,51,-21,36,"7,539",Ã“scar RodrÃ­guez Arnaiz - 9,IvÃ¡n CuÃ©llar
2019-2020,La Liga,19,Mallorca,38,9,6,23,40,65,-25,33,"10,877",Ante Budimir - 13,Manolo Reina
2019-2020,La Liga,20,Espanyol,38,5,10,23,27,58,-31,25,"16,260","RaÃºl de TomÃ¡s, Wu Lei... - 4",Diego LÃ³pez
2019-2020,League 1,1,Paris S-G,27,22,2,3,75,24,51,68,"47,517",Kylian MbappÃ© - 18,Keylor Navas
2019-2020,League 1,2,Marseille,28,16,8,4,41,29,12,56,"52,805",DarÃ­o Benedetto - 11,Steve Mandanda
2019-2020,League 1,3,Rennes,28,15,5,8,38,24,14,50,"25,893",M'Baye Niang - 10,Edouard Mendy
2019-2020,League 1,4,Lille,28,15,4,9,35,27,8,49,"36,404",Victor Osimhen - 13,Mike Maignan
2019-2020,League 1,5,Reims,28,10,11,7,26,21,5,41,"12,932",Boulaye Dia - 7,Predrag RajkoviÄ‡
2019-2020,League 1,6,Nice,28,11,8,9,41,38,3,41,"19,225",Kasper Dolberg - 11,Walter BenÃ­tez
2019-2020,League 1,7,Lyon,28,11,7,10,42,27,15,40,"47,299",Moussa DembÃ©lÃ© - 16,Anthony Lopes
2019-2020,League 1,8,Montpellier,28,11,7,10,35,34,1,40,"14,147",Andy Delort - 9,GerÃ³nimo Rulli
2019-2020,League 1,9,Monaco,28,11,7,10,44,44,0,40,"6,451",Wissam Ben Yedder - 18,Benjamin Lecomte
2019-2020,League 1,10,Strasbourg,27,11,5,11,32,32,0,38,"24,985","Adrien Thomasson, Ludovic Ajorque - 8",Matz Sels
2019-2020,League 1,11,Angers,28,11,6,11,28,33,-5,39,"9,825",Rachid Alioui - 6,Ludovic Butelle
2019-2020,League 1,12,Bordeaux,28,9,10,9,40,34,6,37,"23,430",Jimmy Briand - 7,BenoÃ®t Costil
2019-2020,League 1,13,Nantes,28,11,4,13,28,31,-3,37,"24,635","Ludovic Blas, Moses Simon - 5",Alban Lafont
2019-2020,League 1,14,Brest,28,8,10,10,34,37,-3,34,"13,713",Irvin Cardona - 6,Gautier Larsonneur
2019-2020,League 1,15,Metz,28,8,10,10,27,35,-8,34,"16,583",Habib Diallo - 12,Alexandre Oukidja
2019-2020,League 1,16,Dijon,28,7,9,12,27,37,-10,30,"12,707",Mama Samba BaldÃ© - 6,Alfred Gomis
2019-2020,League 1,17,Saint-Ã‰tienne,28,8,6,14,29,45,-16,30,"23,205",Denis Bouanga - 10,StÃ©phane Ruffier
2019-2020,League 1,18,NÃ®mes,28,7,6,15,29,44,-15,27,"12,555",Romain Philippoteaux - 5,Paul Bernardoni
2019-2020,League 1,19,Amiens,28,4,11,13,31,50,-19,23,"11,616",Sehrou Guirassy - 9,RÃ©gis Gurtner
2019-2020,League 1,20,Toulouse,28,3,4,21,22,58,-36,13,"14,200",Efthimis Koulouris - 4,Baptiste Reynet
2019-2020,EPL,1,Liverpool,38,32,3,3,85,33,52,99,"41,955",Mohamed Salah - 19,Alisson
2019-2020,EPL,2,Manchester City,38,26,3,9,102,35,67,81,"37,097",Raheem Sterling - 20,Ederson
2019-2020,EPL,3,Manchester Utd,38,18,12,8,66,36,30,66,"57,415","Marcus Rashford, Anthony Martial - 17",David de Gea
2019-2020,EPL,4,Chelsea,38,20,6,12,69,54,15,66,"32,023",Tammy Abraham - 15,Kepa Arrizabalaga
2019-2020,EPL,5,Leicester City,38,18,8,12,67,41,26,62,"25,312",Jamie Vardy - 23,Kasper Schmeichel
2019-2020,EPL,6,Tottenham,38,16,11,11,61,47,14,59,"43,757",Harry Kane - 18,Hugo Lloris
2019-2020,EPL,7,Wolves,38,15,14,9,51,40,11,59,"24,758",RaÃºl JimÃ©nez - 17,Rui PatrÃ­cio
2019-2020,EPL,8,Arsenal,38,14,14,10,56,48,8,56,"47,589",Pierre-Emerick Aubameyang - 22,Bernd Leno
2019-2020,EPL,9,Sheffield Utd,38,14,12,12,39,39,0,54,"24,370","Oliver McBurnie, Lys Mousset - 6",Dean Henderson
2019-2020,EPL,10,Burnley,38,15,9,14,43,50,-7,54,"15,995",Chris Wood - 14,Nick Pope
2019-2020,EPL,11,Southampton,38,15,7,16,51,60,-9,52,"23,428",Danny Ings - 22,Alex McCarthy
2019-2020,EPL,12,Everton,38,13,10,15,44,56,-12,49,"28,848","Dominic Calvert-Lewin, Richarlison - 13",Jordan Pickford
2019-2020,EPL,13,Newcastle Utd,38,11,11,16,38,58,-20,44,"35,551",Jonjo Shelvey - 6,Martin DÃºbravka
2019-2020,EPL,14,Crystal Palace,38,11,10,17,31,50,-19,43,"19,784",Jordan Ayew - 9,Vicente Guaita
2019-2020,EPL,15,Brighton,38,9,14,15,39,54,-15,41,"22,369",Neal Maupay - 10,Mathew Ryan
2019-2020,EPL,16,West Ham,38,10,9,19,49,62,-13,39,"44,155",Michail Antonio - 10,Åukasz FabiaÅ„ski
2019-2020,EPL,17,Aston Villa,38,9,8,21,41,67,-26,35,"28,505",Jack Grealish - 8,Tom Heaton
2019-2020,EPL,18,Bournemouth,38,9,7,22,40,65,-25,34,"7,745",Callum Wilson - 8,Aaron Ramsdale
2019-2020,EPL,19,Watford,38,8,10,20,36,64,-28,34,"15,353",Troy Deeney - 10,Ben Foster
2019-2020,EPL,20,Norwich City,38,5,6,27,26,75,-49,21,"19,913",Teemu Pukki - 11,Tim Krul
2019-2020,Serie A,1,Juventus,38,26,5,7,76,43,33,83,"25,102",Cristiano Ronaldo - 31,Wojciech SzczÄ™sny
2019-2020,Serie A,2,Inter,38,24,10,4,81,36,45,82,"41,558",Romelu Lukaku - 23,Samir HandanoviÄ‡
2019-2020,Serie A,3,Atalanta,38,23,9,6,98,48,50,78,"11,167","Luis Muriel, DuvÃ¡n Zapata - 18",Pierluigi Gollini
2019-2020,Serie A,4,Lazio,38,24,6,8,79,42,37,78,"26,363",Ciro Immobile - 36,Thomas Strakosha
2019-2020,Serie A,5,Roma,38,21,7,10,77,51,26,70,"26,956",Edin DÅ¾eko - 16,Pau LÃ³pez
2019-2020,Serie A,6,Milan,38,19,9,10,63,46,17,66,"34,078",Ante RebiÄ‡ - 11,Gianluigi Donnarumma
2019-2020,Serie A,7,Napoli,38,18,8,12,61,50,11,62,"21,622",Arkadiusz Milik - 11,Alex Meret
2019-2020,Serie A,8,Sassuolo,38,14,9,15,69,63,6,51,"7,704",Francesco Caputo - 21,Andrea Consigli
2019-2020,Serie A,9,Hellas Verona,38,12,13,13,47,51,-4,49,"11,248",Samuel Di Carmine - 8,Marco Silvestri
2019-2020,Serie A,10,Fiorentina,38,12,13,13,51,48,3,49,"22,486",Federico Chiesa - 11,BartÅ‚omiej DrÄ…gowski
2019-2020,Serie A,11,Parma,38,14,7,17,56,57,-1,49,"10,245",Andreas Cornelius - 12,Luigi Sepe
2019-2020,Serie A,12,Bologna,38,12,11,15,52,65,-13,47,"15,774",Musa Barrow - 9,Åukasz Skorupski
2019-2020,Serie A,13,Udinese,38,12,9,17,37,51,-14,45,"13,841",Kevin Lasagna - 10,Juan Musso
2019-2020,Serie A,14,Cagliari,38,11,12,15,52,56,-4,45,"10,728",JoÃ£o Pedro - 18,Robin Olsen
2019-2020,Serie A,15,Sampdoria,38,12,6,20,48,65,-17,42,"13,700","Manolo Gabbiadini, Fabio Quagliarella - 11",Emil Audero
2019-2020,Serie A,16,Torino,38,11,7,20,46,68,-22,40,"13,338",Andrea Belotti - 16,Salvatore Sirigu
2019-2020,Serie A,17,Genoa,38,10,9,19,47,73,-26,39,"14,016",Goran Pandev - 9,Mattia Perin
2019-2020,Serie A,18,Lecce,38,9,8,21,52,85,-33,35,"15,939",Marco Mancosu - 14,Gabriel
2019-2020,Serie A,19,Brescia,38,6,7,25,35,79,-44,25,"10,050","Ernesto Torregrossa, Alfredo Donnarumma - 7",Jesse Joronen
2019-2020,Serie A,20,SPAL,38,5,5,28,27,77,-50,20,"8,241",Andrea Petagna - 12,Etrit Berisha
